0,1,2,3,4,5,6,7
Black (2007),Cummings (2007),Karam (2007),Lyles (2007),Papapoulous (2008),Abrahamsen (2009),Heckbert (2008),Sorensen (2008)
RCT,RCT,RCT,RCT,RCT,Obs,Obs,Obs
94.0,81.0,189.0,29.0,57.0,797.0,47.0,724.0
3862.0,3236.0,10018.0,1054.0,6830.0,14302.0,87.0,3862.0
73.0,71.0,94.0,27.0,18.0,1280.0,672.0,12862.0
3852.0,3223.0,5048.0,1057.0,1924.0,28731.0,1598.0,77643.0
0.255750409,0.130817954,0.013310364,0.076325154,-0.115257805,0.235581932,0.481884042,0.150185582
0.024866941,0.027064402,0.0162329,0.073466279,0.073771719,0.00214643,0.048844605,0.001793075
73.0,69.3,73.5,74.5,66.9,74.3,72.7,76.1
3.0,3.6,,5.0,2.5,10.0,3.0,6.0
